organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
organizer_id : 36244, address_post: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test != post_country: 136 123456 46 Москва 123456, Россия, Московская область,  Москва, soap-test
organizer_id : 36244, address_legal: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского != jury_country: 136 123456 46 Москва 123456, Россия, Московская область, Москва, ул. Володарского
